date,league,home_team,away_team,score
2013-11-03,Bundesliga,Werder Bremen,Hannover 96,3–2
2013-11-03,Bundesliga,Augsburg,Mainz 05,2–1
2013-11-08,Bundesliga,Hannover 96,Braunschweig,0–0
2013-11-09,Bundesliga,Bayern Munich,Augsburg,3–0
2013-11-09,Bundesliga,Schalke 04,Werder Bremen,3–1
2013-11-09,Bundesliga,Hoffenheim,Hertha BSC,2–3
2013-11-09,Bundesliga,Wolfsburg,Dortmund,2–1
2013-11-09,Bundesliga,Leverkusen,Hamburger SV,5–3
2013-11-09,Bundesliga,Gladbach,Nürnberg,3–1
2013-11-10,Bundesliga,Mainz 05,Eint Frankfurt,1–0
2013-11-10,Bundesliga,Freiburg,Stuttgart,1–3
2013-11-22,Bundesliga,Stuttgart,Gladbach,0–2
2013-11-23,Bundesliga,Dortmund,Bayern Munich,0–3
2013-11-23,Bundesliga,Braunschweig,Freiburg,0–1
2013-11-23,Bundesliga,Hertha BSC,Leverkusen,0–1
2013-11-23,Bundesliga,Augsburg,Hoffenheim,2–0
2013-11-23,Bundesliga,Eint Frankfurt,Schalke 04,3–3
2013-11-23,Bundesliga,Nürnberg,Wolfsburg,1–1
2013-11-24,Bundesliga,Werder Bremen,Mainz 05,2–3
2013-11-24,Bundesliga,Hamburger SV,Hannover 96,3–1
2013-11-29,Bundesliga,Wolfsburg,Hamburger SV,1–1
2013-11-30,Bundesliga,Hoffenheim,Werder Bremen,4–4
2013-11-30,Bundesliga,Bayern Munich,Braunschweig,2–0
2013-11-30,Bundesliga,Mainz 05,Dortmund,1–3
2013-11-30,Bundesliga,Hertha BSC,Augsburg,0–0
2013-11-30,Bundesliga,Leverkusen,Nürnberg,3–0
2013-11-30,Bundesliga,Schalke 04,Stuttgart,3–0
2013-12-01,Bundesliga,Hannover 96,Eint Frankfurt,2–0
2013-12-01,Bundesliga,Gladbach,Freiburg,1–0
2013-12-06,Bundesliga,Nürnberg,Mainz 05,1–1
2013-12-07,Bundesliga,Stuttgart,Hannover 96,4–2
2013-12-07,Bundesliga,Dortmund,Leverkusen,0–1
2013-12-07,Bundesliga,Eint Frankfurt,Hoffenheim,1–2
2013-12-07,Bundesliga,Hamburger SV,Augsburg,0–1
2013-12-07,Bundesliga,Gladbach,Schalke 04,2–1
