date,league,home_team,away_team,score
2009-09-12,Bundesliga,Wolfsburg,Leverkusen,2–3
2009-09-12,Bundesliga,Dortmund,Bayern Munich,1–5
2009-09-12,Bundesliga,Hamburger SV,Stuttgart,3–1
2009-09-12,Bundesliga,Freiburg,Eint Frankfurt,0–2
2009-09-12,Bundesliga,Hoffenheim,Bochum,3–0
2009-09-13,Bundesliga,Werder Bremen,Hannover 96,0–0
2009-09-13,Bundesliga,Köln,Schalke 04,1–2
2009-09-18,Bundesliga,Schalke 04,Wolfsburg,1–2
2009-09-19,Bundesliga,Gladbach,Hoffenheim,2–4
2009-09-19,Bundesliga,Bochum,Mainz 05,2–3
2009-09-19,Bundesliga,Bayern Munich,Nürnberg,2–1
2009-09-19,Bundesliga,Hannover 96,Dortmund,1–1
2009-09-19,Bundesliga,Stuttgart,Köln,0–2
2009-09-20,Bundesliga,Leverkusen,Werder Bremen,0–0
2009-09-20,Bundesliga,Hertha BSC,Freiburg,0–4
2009-09-20,Bundesliga,Eint Frankfurt,Hamburger SV,1–1
2009-09-25,Bundesliga,Nürnberg,Bochum,0–1
2009-09-26,Bundesliga,Wolfsburg,Hannover 96,4–2
2009-09-26,Bundesliga,Hamburger SV,Bayern Munich,1–0
2009-09-26,Bundesliga,Eint Frankfurt,Stuttgart,0–3
2009-09-26,Bundesliga,Dortmund,Schalke 04,0–1
2009-09-26,Bundesliga,Köln,Leverkusen,0–1
2009-09-26,Bundesliga,Werder Bremen,Mainz 05,3–0
2009-09-27,Bundesliga,Hoffenheim,Hertha BSC,5–1
2009-09-27,Bundesliga,Freiburg,Gladbach,3–0
2009-10-02,Bundesliga,Schalke 04,Eint Frankfurt,2–0
2009-10-03,Bundesliga,Gladbach,Dortmund,0–1
2009-10-03,Bundesliga,Bayern Munich,Köln,0–0
2009-10-03,Bundesliga,Leverkusen,Nürnberg,4–0
2009-10-03,Bundesliga,Hannover 96,Freiburg,5–2
2009-10-03,Bundesliga,Mainz 05,Hoffenheim,2–1
2009-10-03,Bundesliga,Bochum,Wolfsburg,1–1
2009-10-04,Bundesliga,Stuttgart,Werder Bremen,0–2
2009-10-04,Bundesliga,Hertha BSC,Hamburger SV,1–3
2009-10-17,Bundesliga,Stuttgart,Schalke 04,1–2
2009-10-17,Bundesliga,Hamburger SV,Leverkusen,0–0
2009-10-17,Bundesliga,Freiburg,Bayern Munich,1–2
2009-10-17,Bundesliga,Nürnberg,Hertha BSC,3–0
2009-10-17,Bundesliga,Werder Bremen,Hoffenheim,2–0
2009-10-17,Bundesliga,Eint Frankfurt,Hannover 96,2–1
2009-10-17,Bundesliga,Köln,Mainz 05,1–0
2009-10-18,Bundesliga,Wolfsburg,Gladbach,2–1
2009-10-18,Bundesliga,Dortmund,Bochum,2–0
2009-10-23,Bundesliga,Leverkusen,Dortmund,1–1
2009-10-24,Bundesliga,Mainz 05,Freiburg,3–0
2009-10-24,Bundesliga,Hannover 96,Stuttgart,1–0
2009-10-24,Bundesliga,Bayern Munich,Eint Frankfurt,2–1
2009-10-24,Bundesliga,Hoffenheim,Nürnberg,3–0
2009-10-24,Bundesliga,Gladbach,Köln,0–0
2009-10-25,Bundesliga,Bochum,Werder Bremen,1–4
2009-10-25,Bundesliga,Hertha BSC,Wolfsburg,0–0
2009-10-25,Bundesliga,Schalke 04,Hamburger SV,3–3
2009-10-30,Bundesliga,Dortmund,Hertha BSC,2–0
2009-10-31,Bundesliga,Schalke 04,Leverkusen,2–2
2009-10-31,Bundesliga,Köln,Hannover 96,0–1
2009-10-31,Bundesliga,Wolfsburg,Mainz 05,3–3
2009-10-31,Bundesliga,Nürnberg,Werder Bremen,2–2
2009-10-31,Bundesliga,Hamburger SV,Gladbach,2–3
2009-10-31,Bundesliga,Stuttgart,Bayern Munich,0–0
2009-11-01,Bundesliga,Eint Frankfurt,Bochum,2–1
2009-11-01,Bundesliga,Freiburg,Hoffenheim,0–1
2009-11-06,Bundesliga,Leverkusen,Eint Frankfurt,4–0
2009-11-07,Bundesliga,Hoffenheim,Wolfsburg,1–2
2009-11-07,Bundesliga,Bayern Munich,Schalke 04,1–1
2009-11-07,Bundesliga,Gladbach,Stuttgart,0–0
2009-11-07,Bundesliga,Mainz 05,Nürnberg,1–0
2009-11-07,Bundesliga,Bochum,Freiburg,1–2
2009-11-08,Bundesliga,Hertha BSC,Köln,0–1
2009-11-08,Bundesliga,Werder Bremen,Dortmund,1–1
2009-11-08,Bundesliga,Hannover 96,Hamburger SV,2–2
2009-11-21,Bundesliga,Freiburg,Werder Bremen,0–6
2009-11-21,Bundesliga,Dortmund,Mainz 05,0–0
2009-11-21,Bundesliga,Köln,Hoffenheim,0–4
2009-11-21,Bundesliga,Schalke 04,Hannover 96,2–0
2009-11-21,Bundesliga,Stuttgart,Hertha BSC,1–1
2009-11-21,Bundesliga,Eint Frankfurt,Gladbach,1–2
2009-11-21,Bundesliga,Wolfsburg,Nürnberg,2–3
2009-11-22,Bundesliga,Hamburger SV,Bochum,0–1
2009-11-22,Bundesliga,Bayern Munich,Leverkusen,1–1
2009-11-27,Bundesliga,Bochum,Köln,0–0
2009-11-28,Bundesliga,Hoffenheim,Dortmund,1–2
2009-11-28,Bundesliga,Nürnberg,Freiburg,0–1
2009-11-28,Bundesliga,Gladbach,Schalke 04,1–0
2009-11-28,Bundesliga,Mainz 05,Hamburger SV,1–1
2009-11-28,Bundesliga,Werder Bremen,Wolfsburg,2–2
2009-11-28,Bundesliga,Hertha BSC,Eint Frankfurt,1–3
2009-11-29,Bundesliga,Leverkusen,Stuttgart,4–0
2009-11-29,Bundesliga,Hannover 96,Bayern Munich,0–3
2009-12-04,Bundesliga,Bayern Munich,Gladbach,2–1
2009-12-05,Bundesliga,Hannover 96,Leverkusen,0–0
2009-12-05,Bundesliga,Dortmund,Nürnberg,4–0
2009-12-05,Bundesliga,Stuttgart,Bochum,1–1
2009-12-05,Bundesliga,Wolfsburg,Freiburg,2–2
2009-12-05,Bundesliga,Eint Frankfurt,Mainz 05,2–0
2009-12-05,Bundesliga,Hamburger SV,Hoffenheim,0–0
2009-12-06,Bundesliga,Schalke 04,Hertha BSC,2–0
2009-12-06,Bundesliga,Köln,Werder Bremen,0–0
2009-12-11,Bundesliga,Hertha BSC,Leverkusen,2–2
2009-12-12,Bundesliga,Gladbach,Hannover 96,5–3
2009-12-12,Bundesliga,Werder Bremen,Schalke 04,0–2
2009-12-12,Bundesliga,Freiburg,Köln,0–0
2009-12-12,Bundesliga,Nürnberg,Hamburger SV,0–4
2009-12-12,Bundesliga,Hoffenheim,Eint Frankfurt,1–1
2009-12-12,Bundesliga,Bochum,Bayern Munich,1–5
2009-12-13,Bundesliga,Wolfsburg,Dortmund,1–3
2009-12-13,Bundesliga,Mainz 05,Stuttgart,1–1
2009-12-18,Bundesliga,Schalke 04,Mainz 05,1–0
2009-12-19,Bundesliga,Dortmund,Freiburg,1–0
2009-12-19,Bundesliga,Stuttgart,Hoffenheim,3–1
2009-12-19,Bundesliga,Bayern Munich,Hertha BSC,5–2
2009-12-19,Bundesliga,Eint Frankfurt,Wolfsburg,2–2
2009-12-19,Bundesliga,Leverkusen,Gladbach,3–2
2009-12-19,Bundesliga,Hannover 96,Bochum,2–3
2009-12-20,Bundesliga,Hamburger SV,Werder Bremen,2–1
2009-12-20,Bundesliga,Köln,Nürnberg,3–0
2010-01-15,Bundesliga,Bayern Munich,Hoffenheim,2–0
2010-01-16,Bundesliga,Hannover 96,Hertha BSC,0–3
2010-01-16,Bundesliga,Hamburger SV,Freiburg,2–0
2010-01-16,Bundesliga,Stuttgart,Wolfsburg,3–1
2010-01-16,Bundesliga,Eint Frankfurt,Werder Bremen,1–0
2010-01-16,Bundesliga,Gladbach,Bochum,1–2
2010-01-16,Bundesliga,Leverkusen,Mainz 05,4–2
2010-01-17,Bundesliga,Schalke 04,Nürnberg,1–0
2010-01-17,Bundesliga,Köln,Dortmund,2–3
2010-01-22,Bundesliga,Freiburg,Stuttgart,0–1
2010-01-23,Bundesliga,Werder Bremen,Bayern Munich,2–3
2010-01-23,Bundesliga,Nürnberg,Eint Frankfurt,1–1
2010-01-23,Bundesliga,Hertha BSC,Gladbach,0–0
2010-01-23,Bundesliga,Bochum,Schalke 04,2–2
2010-01-23,Bundesliga,Dortmund,Hamburger SV,1–0
2010-01-23,Bundesliga,Mainz 05,Hannover 96,1–0
2010-01-24,Bundesliga,Hoffenheim,Leverkusen,0–3
2010-01-24,Bundesliga,Wolfsburg,Köln,2–3
2010-01-29,Bundesliga,Hamburger SV,Wolfsburg,1–1
2010-01-30,Bundesliga,Hannover 96,Nürnberg,1–3
2010-01-30,Bundesliga,Gladbach,Werder Bremen,4–3
2010-01-30,Bundesliga,Eint Frankfurt,Köln,1–2
2010-01-30,Bundesliga,Bayern Munich,Mainz 05,3–0
2010-01-30,Bundesliga,Schalke 04,Hoffenheim,2–0
2010-01-30,Bundesliga,Hertha BSC,Bochum,0–0
2010-01-31,Bundesliga,Stuttgart,Dortmund,4–1
2010-01-31,Bundesliga,Leverkusen,Freiburg,3–1
2010-02-05,Bundesliga,Werder Bremen,Hertha BSC,2–1
2010-02-06,Bundesliga,Wolfsburg,Bayern Munich,1–3
2010-02-06,Bundesliga,Freiburg,Schalke 04,0–0
2010-02-06,Bundesliga,Hoffenheim,Hannover 96,2–1
2010-02-06,Bundesliga,Nürnberg,Stuttgart,1–2
2010-02-06,Bundesliga,Köln,Hamburger SV,3–3
2010-02-06,Bundesliga,Bochum,Leverkusen,1–1
2010-02-07,Bundesliga,Mainz 05,Gladbach,1–0
2010-02-07,Bundesliga,Dortmund,Eint Frankfurt,2–3
2010-02-12,Bundesliga,Gladbach,Nürnberg,2–1
2010-02-13,Bundesliga,Leverkusen,Wolfsburg,2–1
2010-02-13,Bundesliga,Bayern Munich,Dortmund,3–1
2010-02-13,Bundesliga,Hertha BSC,Mainz 05,1–1
2010-02-13,Bundesliga,Bochum,Hoffenheim,2–1
2010-02-13,Bundesliga,Stuttgart,Hamburger SV,1–3
2010-02-13,Bundesliga,Hannover 96,Werder Bremen,1–5
2010-02-14,Bundesliga,Eint Frankfurt,Freiburg,2–1
2010-02-14,Bundesliga,Schalke 04,Köln,2–0
2010-02-19,Bundesliga,Hoffenheim,Gladbach,2–2
2010-02-20,Bundesliga,Hamburger SV,Eint Frankfurt,0–0
2010-02-20,Bundesliga,Dortmund,Hannover 96,4–1
2010-02-20,Bundesliga,Nürnberg,Bayern Munich,1–1
2010-02-20,Bundesliga,Köln,Stuttgart,1–5
2010-02-20,Bundesliga,Mainz 05,Bochum,0–0
2010-02-21,Bundesliga,Werder Bremen,Leverkusen,2–2
2010-02-21,Bundesliga,Wolfsburg,Schalke 04,2–1
2010-02-21,Bundesliga,Freiburg,Hertha BSC,0–3
2010-02-26,Bundesliga,Schalke 04,Dortmund,2–1
2010-02-27,Bundesliga,Gladbach,Freiburg,1–1
2010-02-27,Bundesliga,Bochum,Nürnberg,0–0
2010-02-27,Bundesliga,Mainz 05,Werder Bremen,1–2
2010-02-27,Bundesliga,Leverkusen,Köln,0–0
2010-02-27,Bundesliga,Stuttgart,Eint Frankfurt,2–1
2010-02-27,Bundesliga,Hertha BSC,Hoffenheim,0–2
2010-02-28,Bundesliga,Hannover 96,Wolfsburg,0–1
2010-02-28,Bundesliga,Bayern Munich,Hamburger SV,1–0
2010-03-06,Bundesliga,Freiburg,Hannover 96,1–2
2010-03-06,Bundesliga,Köln,Bayern Munich,1–1
2010-03-06,Bundesliga,Dortmund,Gladbach,3–0
2010-03-06,Bundesliga,Eint Frankfurt,Schalke 04,1–4
2010-03-06,Bundesliga,Wolfsburg,Bochum,4–1
2010-03-06,Bundesliga,Hamburger SV,Hertha BSC,1–0
2010-03-06,Bundesliga,Werder Bremen,Stuttgart,2–2
2010-03-07,Bundesliga,Nürnberg,Leverkusen,3–2
2010-03-07,Bundesliga,Hoffenheim,Mainz 05,0–1
2010-03-12,Bundesliga,Schalke 04,Stuttgart,2–1
2010-03-13,Bundesliga,Bochum,Dortmund,1–4
2010-03-13,Bundesliga,Gladbach,Wolfsburg,0–4
2010-03-13,Bundesliga,Bayern Munich,Freiburg,2–1
2010-03-13,Bundesliga,Mainz 05,Köln,1–0
2010-03-13,Bundesliga,Hertha BSC,Nürnberg,1–2
2010-03-13,Bundesliga,Hannover 96,Eint Frankfurt,2–1
2010-03-14,Bundesliga,Leverkusen,Hamburger SV,4–2
2010-03-14,Bundesliga,Hoffenheim,Werder Bremen,0–1
2010-03-19,Bundesliga,Köln,Gladbach,1–1
2010-03-20,Bundesliga,Eint Frankfurt,Bayern Munich,2–1
2010-03-20,Bundesliga,Werder Bremen,Bochum,3–2
2010-03-20,Bundesliga,Freiburg,Mainz 05,1–0
2010-03-20,Bundesliga,Nürnberg,Hoffenheim,0–0
2010-03-20,Bundesliga,Dortmund,Leverkusen,3–0
2010-03-20,Bundesliga,Stuttgart,Hannover 96,2–0
2010-03-21,Bundesliga,Hamburger SV,Schalke 04,2–2
2010-03-21,Bundesliga,Wolfsburg,Hertha BSC,1–5
2010-03-26,Bundesliga,Bochum,Eint Frankfurt,1–2
2010-03-27,Bundesliga,Leverkusen,Schalke 04,0–2
2010-03-27,Bundesliga,Hannover 96,Köln,1–4
2010-03-27,Bundesliga,Bayern Munich,Stuttgart,1–2
2010-03-27,Bundesliga,Werder Bremen,Nürnberg,4–2
2010-03-27,Bundesliga,Hertha BSC,Dortmund,0–0
2010-03-27,Bundesliga,Mainz 05,Wolfsburg,0–2
2010-03-28,Bundesliga,Hoffenheim,Freiburg,1–1
2010-03-28,Bundesliga,Gladbach,Hamburger SV,1–0
2010-04-03,Bundesliga,Köln,Hertha BSC,0–3
2010-04-03,Bundesliga,Stuttgart,Gladbach,2–1
2010-04-03,Bundesliga,Eint Frankfurt,Leverkusen,3–2
2010-04-03,Bundesliga,Freiburg,Bochum,1–1
2010-04-03,Bundesliga,Nürnberg,Mainz 05,2–0
2010-04-03,Bundesliga,Dortmund,Werder Bremen,2–1
2010-04-03,Bundesliga,Schalke 04,Bayern Munich,1–2
2010-04-04,Bundesliga,Hamburger SV,Hannover 96,0–0
2010-04-04,Bundesliga,Wolfsburg,Hoffenheim,4–0
2010-04-09,Bundesliga,Gladbach,Eint Frankfurt,2–0
2010-04-10,Bundesliga,Mainz 05,Dortmund,1–0
2010-04-10,Bundesliga,Leverkusen,Bayern Munich,1–1
2010-04-10,Bundesliga,Hertha BSC,Stuttgart,0–1
2010-04-10,Bundesliga,Hoffenheim,Köln,0–2
2010-04-10,Bundesliga,Werder Bremen,Freiburg,4–0
2010-04-10,Bundesliga,Hannover 96,Schalke 04,4–2
2010-04-11,Bundesliga,Nürnberg,Wolfsburg,0–2
2010-04-11,Bundesliga,Bochum,Hamburger SV,1–2
2010-04-16,Bundesliga,Köln,Bochum,2–0
2010-04-17,Bundesliga,Wolfsburg,Werder Bremen,2–4
2010-04-17,Bundesliga,Bayern Munich,Hannover 96,7–0
2010-04-17,Bundesliga,Hamburger SV,Mainz 05,0–1
2010-04-17,Bundesliga,Schalke 04,Gladbach,3–1
2010-04-17,Bundesliga,Freiburg,Nürnberg,2–1
2010-04-17,Bundesliga,Stuttgart,Leverkusen,2–1
2010-04-18,Bundesliga,Eint Frankfurt,Hertha BSC,2–2
2010-04-18,Bundesliga,Dortmund,Hoffenheim,1–1
2010-04-23,Bundesliga,Bochum,Stuttgart,0–2
2010-04-24,Bundesliga,Leverkusen,Hannover 96,3–0
2010-04-24,Bundesliga,Nürnberg,Dortmund,2–3
2010-04-24,Bundesliga,Hertha BSC,Schalke 04,0–1
2010-04-24,Bundesliga,Werder Bremen,Köln,1–0
2010-04-24,Bundesliga,Mainz 05,Eint Frankfurt,3–3
2010-04-24,Bundesliga,Gladbach,Bayern Munich,1–1
2010-04-25,Bundesliga,Hoffenheim,Hamburger SV,5–1
2010-04-25,Bundesliga,Freiburg,Wolfsburg,1–0
2010-05-01,Bundesliga,Bayern Munich,Bochum,3–1
2010-05-01,Bundesliga,Stuttgart,Mainz 05,2–2
2010-05-01,Bundesliga,Eint Frankfurt,Hoffenheim,1–2
2010-05-01,Bundesliga,Hamburger SV,Nürnberg,4–0
2010-05-01,Bundesliga,Köln,Freiburg,2–2
2010-05-01,Bundesliga,Schalke 04,Werder Bremen,0–2
2010-05-01,Bundesliga,Leverkusen,Hertha BSC,1–1
2010-05-01,Bundesliga,Hannover 96,Gladbach,6–1
2010-05-01,Bundesliga,Dortmund,Wolfsburg,1–1
2010-05-08,Bundesliga,Freiburg,Dortmund,3–1
2010-05-08,Bundesliga,Hoffenheim,Stuttgart,1–1
2010-05-08,Bundesliga,Mainz 05,Schalke 04,0–0
2010-05-08,Bundesliga,Hertha BSC,Bayern Munich,1–3
2010-05-08,Bundesliga,Wolfsburg,Eint Frankfurt,3–1
2010-05-08,Bundesliga,Werder Bremen,Hamburger SV,1–1
2010-05-08,Bundesliga,Nürnberg,Köln,1–0
2010-05-08,Bundesliga,Bochum,Hannover 96,0–3
2010-05-08,Bundesliga,Gladbach,Leverkusen,1–1
2010-08-20,Bundesliga,Bayern Munich,Wolfsburg,2–1
2010-08-21,Bundesliga,Hannover 96,Eint Frankfurt,2–1
2010-08-21,Bundesliga,Freiburg,St. Pauli,1–3
2010-08-21,Bundesliga,Hoffenheim,Werder Bremen,4–1
2010-08-21,Bundesliga,Köln,Kaiserslautern,1–3
2010-08-21,Bundesliga,Gladbach,Nürnberg,1–1
2010-08-21,Bundesliga,Hamburger SV,Schalke 04,2–1
2010-08-22,Bundesliga,Dortmund,Leverkusen,0–2
2010-08-22,Bundesliga,Mainz 05,Stuttgart,2–0
2010-08-27,Bundesliga,Kaiserslautern,Bayern Munich,2–0
2010-08-28,Bundesliga,Schalke 04,Hannover 96,1–2
2010-08-28,Bundesliga,Wolfsburg,Mainz 05,3–4
2010-08-28,Bundesliga,Nürnberg,Freiburg,1–2
2010-08-28,Bundesliga,Eint Frankfurt,Hamburger SV,1–3
2010-08-28,Bundesliga,Werder Bremen,Köln,4–2
2010-08-28,Bundesliga,St. Pauli,Hoffenheim,0–1
2010-08-29,Bundesliga,Stuttgart,Dortmund,1–3
2010-08-29,Bundesliga,Leverkusen,Gladbach,3–6
2010-09-10,Bundesliga,Hoffenheim,Schalke 04,2–0
2010-09-11,Bundesliga,Hannover 96,Leverkusen,2–2
2010-09-11,Bundesliga,Dortmund,Wolfsburg,2–0
2010-09-11,Bundesliga,Bayern Munich,Werder Bremen,0–0
2010-09-11,Bundesliga,Hamburger SV,Nürnberg,1–1
2010-09-11,Bundesliga,Gladbach,Eint Frankfurt,0–4
2010-09-11,Bundesliga,Freiburg,Stuttgart,2–1
2010-09-12,Bundesliga,Mainz 05,Kaiserslautern,2–1
2010-09-12,Bundesliga,Köln,St. Pauli,1–0
2010-09-17,Bundesliga,Eint Frankfurt,Freiburg,0–1
2010-09-18,Bundesliga,Bayern Munich,Köln,0–0
2010-09-18,Bundesliga,Werder Bremen,Mainz 05,0–2
2010-09-18,Bundesliga,Wolfsburg,Hannover 96,2–0
2010-09-18,Bundesliga,Kaiserslautern,Hoffenheim,2–2
2010-09-18,Bundesliga,Stuttgart,Gladbach,7–0
2010-09-19,Bundesliga,Schalke 04,Dortmund,1–3
2010-09-19,Bundesliga,Leverkusen,Nürnberg,0–0
2010-09-19,Bundesliga,St. Pauli,Hamburger SV,1–1
2010-09-21,Bundesliga,Hoffenheim,Bayern Munich,1–2
2010-09-21,Bundesliga,Hannover 96,Werder Bremen,4–1
2010-09-21,Bundesliga,Mainz 05,Köln,2–0
2010-09-22,Bundesliga,Gladbach,St. Pauli,1–2
2010-09-22,Bundesliga,Hamburger SV,Wolfsburg,1–3
2010-09-22,Bundesliga,Freiburg,Schalke 04,1–2
2010-09-22,Bundesliga,Leverkusen,Eint Frankfurt,2–1
2010-09-22,Bundesliga,Nürnberg,Stuttgart,2–1
2010-09-22,Bundesliga,Dortmund,Kaiserslautern,5–0
2010-09-24,Bundesliga,Köln,Hoffenheim,1–1
2010-09-25,Bundesliga,Eint Frankfurt,Nürnberg,2–0
2010-09-25,Bundesliga,Werder Bremen,Hamburger SV,3–2
2010-09-25,Bundesliga,Stuttgart,Leverkusen,1–4
2010-09-25,Bundesliga,St. Pauli,Dortmund,1–3
2010-09-25,Bundesliga,Bayern Munich,Mainz 05,1–2
2010-09-25,Bundesliga,Schalke 04,Gladbach,2–2
2010-09-26,Bundesliga,Wolfsburg,Freiburg,2–1
2010-09-26,Bundesliga,Kaiserslautern,Hannover 96,0–1
2010-10-01,Bundesliga,Hannover 96,St. Pauli,0–1
2010-10-02,Bundesliga,Gladbach,Wolfsburg,1–1
2010-10-02,Bundesliga,Freiburg,Köln,3–2
2010-10-02,Bundesliga,Hamburger SV,Kaiserslautern,2–1
2010-10-02,Bundesliga,Mainz 05,Hoffenheim,4–2
2010-10-02,Bundesliga,Nürnberg,Schalke 04,2–1
2010-10-03,Bundesliga,Dortmund,Bayern Munich,2–0
2010-10-03,Bundesliga,Leverkusen,Werder Bremen,2–2
2010-10-03,Bundesliga,Stuttgart,Eint Frankfurt,1–2
2010-10-15,Bundesliga,Köln,Dortmund,1–2
2010-10-16,Bundesliga,Bayern Munich,Hannover 96,3–0
2010-10-16,Bundesliga,Schalke 04,Stuttgart,2–2
2010-10-16,Bundesliga,St. Pauli,Nürnberg,3–2
2010-10-16,Bundesliga,Werder Bremen,Freiburg,2–1
2010-10-16,Bundesliga,Mainz 05,Hamburger SV,0–1
2010-10-16,Bundesliga,Wolfsburg,Leverkusen,2–3
2010-10-17,Bundesliga,Hoffenheim,Gladbach,3–2
2010-10-17,Bundesliga,Kaiserslautern,Eint Frankfurt,0–3
2010-10-22,Bundesliga,Hamburger SV,Bayern Munich,0–0
2010-10-23,Bundesliga,Freiburg,Kaiserslautern,2–1
2010-10-23,Bundesliga,Gladbach,Werder Bremen,1–4
2010-10-23,Bundesliga,Nürnberg,Wolfsburg,2–1
2010-10-23,Bundesliga,Eint Frankfurt,Schalke 04,0–0
2010-10-23,Bundesliga,Hannover 96,Köln,2–1
2010-10-24,Bundesliga,Leverkusen,Mainz 05,0–1
2010-10-24,Bundesliga,Stuttgart,St. Pauli,2–0
2010-10-24,Bundesliga,Dortmund,Hoffenheim,1–1
2010-10-29,Bundesliga,Bayern Munich,Freiburg,4–2
2010-10-30,Bundesliga,Wolfsburg,Stuttgart,2–0
2010-10-30,Bundesliga,Köln,Hamburger SV,3–2
2010-10-30,Bundesliga,Werder Bremen,Nürnberg,2–3
2010-10-30,Bundesliga,St. Pauli,Eint Frankfurt,1–3
2010-10-30,Bundesliga,Schalke 04,Leverkusen,0–1
2010-10-30,Bundesliga,Kaiserslautern,Gladbach,3–0
2010-10-31,Bundesliga,Hoffenheim,Hannover 96,4–0
2010-10-31,Bundesliga,Mainz 05,Dortmund,0–2
2010-11-05,Bundesliga,Schalke 04,St. Pauli,3–0
2010-11-06,Bundesliga,Gladbach,Bayern Munich,3–3
2010-11-06,Bundesliga,Nürnberg,Köln,3–1
2010-11-06,Bundesliga,Eint Frankfurt,Wolfsburg,3–1
2010-11-06,Bundesliga,Hamburger SV,Hoffenheim,2–1
2010-11-06,Bundesliga,Freiburg,Mainz 05,1–0
2010-11-07,Bundesliga,Stuttgart,Werder Bremen,6–0
2010-11-07,Bundesliga,Leverkusen,Kaiserslautern,3–1
2010-11-07,Bundesliga,Hannover 96,Dortmund,0–4
2010-11-12,Bundesliga,Dortmund,Hamburger SV,2–0
2010-11-13,Bundesliga,St. Pauli,Leverkusen,0–1
2010-11-13,Bundesliga,Mainz 05,Hannover 96,0–1
2010-11-13,Bundesliga,Kaiserslautern,Stuttgart,3–3
2010-11-13,Bundesliga,Köln,Gladbach,0–4
2010-11-13,Bundesliga,Wolfsburg,Schalke 04,2–2
2010-11-13,Bundesliga,Werder Bremen,Eint Frankfurt,0–0
2010-11-14,Bundesliga,Hoffenheim,Freiburg,0–1
2010-11-14,Bundesliga,Bayern Munich,Nürnberg,3–0
2010-11-20,Bundesliga,Leverkusen,Bayern Munich,1–1
2010-11-20,Bundesliga,Eint Frankfurt,Hoffenheim,0–4
2010-11-20,Bundesliga,Gladbach,Mainz 05,2–3
2010-11-20,Bundesliga,Schalke 04,Werder Bremen,4–0
2010-11-20,Bundesliga,Hannover 96,Hamburger SV,3–2
2010-11-20,Bundesliga,Nürnberg,Kaiserslautern,1–3
2010-11-20,Bundesliga,Freiburg,Dortmund,1–2
2010-11-21,Bundesliga,Stuttgart,Köln,0–1
2010-11-21,Bundesliga,St. Pauli,Wolfsburg,1–1
2010-11-26,Bundesliga,Mainz 05,Nürnberg,3–0
2010-11-27,Bundesliga,Hamburger SV,Stuttgart,4–2
2010-11-27,Bundesliga,Hannover 96,Freiburg,3–0
2010-11-27,Bundesliga,Hoffenheim,Leverkusen,2–2
2010-11-27,Bundesliga,Kaiserslautern,Schalke 04,5–0
2010-11-27,Bundesliga,Bayern Munich,Eint Frankfurt,4–1
2010-11-27,Bundesliga,Dortmund,Gladbach,4–1
2010-11-28,Bundesliga,Köln,Wolfsburg,1–1
2010-11-28,Bundesliga,Werder Bremen,St. Pauli,3–0
2010-12-03,Bundesliga,St. Pauli,Kaiserslautern,1–0
2010-12-04,Bundesliga,Schalke 04,Bayern Munich,2–0
2010-12-04,Bundesliga,Freiburg,Hamburger SV,1–0
2010-12-04,Bundesliga,Gladbach,Hannover 96,1–2
2010-12-04,Bundesliga,Eint Frankfurt,Mainz 05,2–1
2010-12-04,Bundesliga,Wolfsburg,Werder Bremen,0–0
2010-12-04,Bundesliga,Stuttgart,Hoffenheim,1–1
2010-12-05,Bundesliga,Nürnberg,Dortmund,0–2
2010-12-05,Bundesliga,Leverkusen,Köln,3–2
2010-12-10,Bundesliga,Hannover 96,Stuttgart,2–1
2010-12-11,Bundesliga,Dortmund,Werder Bremen,2–0
2010-12-11,Bundesliga,Bayern Munich,St. Pauli,3–0
2010-12-11,Bundesliga,Hamburger SV,Leverkusen,2–4
2010-12-11,Bundesliga,Köln,Eint Frankfurt,1–0
2010-12-11,Bundesliga,Hoffenheim,Nürnberg,1–1
2010-12-11,Bundesliga,Kaiserslautern,Wolfsburg,0–0
2010-12-12,Bundesliga,Mainz 05,Schalke 04,0–1
2010-12-12,Bundesliga,Freiburg,Gladbach,3–0
2010-12-17,Bundesliga,Gladbach,Hamburger SV,1–2
2010-12-18,Bundesliga,Nürnberg,Hannover 96,3–1
2010-12-18,Bundesliga,Schalke 04,Köln,3–0
2010-12-18,Bundesliga,Wolfsburg,Hoffenheim,2–2
2010-12-18,Bundesliga,St. Pauli,Mainz 05,2–4
2010-12-18,Bundesliga,Werder Bremen,Kaiserslautern,1–2
2010-12-18,Bundesliga,Eint Frankfurt,Dortmund,1–0
2010-12-19,Bundesliga,Leverkusen,Freiburg,2–2
2010-12-19,Bundesliga,Stuttgart,Bayern Munich,3–5
2011-01-14,Bundesliga,Leverkusen,Dortmund,1–3
2011-01-15,Bundesliga,Stuttgart,Mainz 05,1–0
2011-01-15,Bundesliga,Wolfsburg,Bayern Munich,1–1
2011-01-15,Bundesliga,Nürnberg,Gladbach,0–1
2011-01-15,Bundesliga,Werder Bremen,Hoffenheim,2–1
2011-01-15,Bundesliga,St. Pauli,Freiburg,2–2
2011-01-15,Bundesliga,Schalke 04,Hamburger SV,0–1
2011-01-16,Bundesliga,Eint Frankfurt,Hannover 96,0–3
2011-01-16,Bundesliga,Kaiserslautern,Köln,1–1
2011-01-21,Bundesliga,Hamburger SV,Eint Frankfurt,1–0
2011-01-22,Bundesliga,Bayern Munich,Kaiserslautern,5–1
2011-01-22,Bundesliga,Mainz 05,Wolfsburg,0–1
